Dataset,Total_Queries,Evaluated_Queries,Avg_Rerank_Time_ms,Original_Recall@1,Reranked_Recall@1,Recall_Improvement@1,Positive_Improvements@1,Original_Recall@5,Reranked_Recall@5,Recall_Improvement@5,Positive_Improvements@5,Original_Recall@10,Reranked_Recall@10,Recall_Improvement@10,Positive_Improvements@10
abt_buy,1092,1092,267.74342854817706,0.8727106227106227,0.8717948717948718,-0.0009157509157509125,0,0.967948717948718,0.9697802197802198,0.001831501831501825,25,0.9826007326007326,0.9853479853479854,0.0027472527472528485,30
amazon-google,3226,1290,2.1680850391240085,0.05116279069767442,0.05426356589147287,0.0031007751937984496,0,0.1,0.12015503875968993,0.020155038759689922,24,0.13565891472868216,0.15891472868217055,0.023255813953488386,56
dblp-googlescholar,64263,5218,0.06634404499969124,0.9532387888079724,0.9532387888079724,0.0,0,0.9862016098121886,0.9860099655040245,-0.00019164430816409617,0,0.9913760061326179,0.9911843618244538,-0.00019164430816409617,0
dblp_acm,2294,2224,0.07280829478682076,0.9824640287769785,0.9824640287769785,0.0,0,0.9968525179856115,0.9968525179856115,0.0,0,0.9991007194244604,0.9991007194244604,0.0,0
walmart-amazon,22074,1146,2.204948337495478,0.9136125654450262,0.9136125654450262,0.0,0,0.9860383944153578,0.9860383944153578,0.0,0,0.9982547993019197,0.9982547993019197,0.0,1
