Dataset,Total_Queries,Evaluated_Queries,Avg_Rerank_Time_ms,Original_Recall@1,Reranked_Recall@1,Recall_Improvement@1,Positive_Improvements@1,Original_Recall@5,Reranked_Recall@5,Recall_Improvement@5,Positive_Improvements@5,Original_Recall@10,Reranked_Recall@10,Recall_Improvement@10,Positive_Improvements@10
amazon-google,3226,1291,1.9496273565794915,0.7583268783888458,0.7513555383423702,-0.006971340046475594,0,0.9682416731216111,0.9666924864446166,-0.0015491866769945517,30,0.9868319132455461,0.9868319132455461,0.0,34
dblp-acm,2294,2224,0.07632730728455388,0.983363309352518,0.983363309352518,0.0,0,0.9968525179856115,0.9968525179856115,0.0,0,0.9991007194244604,0.9991007194244604,0.0,0
dblp-googlescholar,64263,5218,0.06949150191601033,0.9725948639325412,0.9725948639325412,0.0,0,0.9955921809122269,0.9955921809122269,0.0,0,0.9977002683020314,0.9977002683020314,0.0,0
walmart-amazon,22074,1146,1.8511844456838484,0.9458987783595113,0.9458987783595113,0.0,0,0.9973821989528796,0.9973821989528796,0.0,0,1.0,1.0,0.0,0
